Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,857,1628
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,9377432
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,4570863
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,1889649
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,9377432
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,4570863
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,443072,454541
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,454541
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321599,330585
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,330585
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,264859
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,115564
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,71260
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,264859
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81862,115564
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,39567
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,71260
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,39567
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,19011,15945
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18664,1889649
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,14133,11026
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,15945
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,1625
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,11026
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,1625
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,12207554,9474529
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,6329766,4589884
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,4458925,9474529
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,3815655,1899916
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,2406075,4589884
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,445798,453403
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,431463,453403
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,311052,329121
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,269057,329121
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,244142,269627
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,135873,70192
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,125678,269627
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,103650,115263
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,100925,115263
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,61100,38894
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,37996,38894
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Full,36430,70192
US-Canada Border,12/01/2014 12:00:00 AM,Pedestrians,19935,1899916
US-Mexico Border,12/01/2014 12:00:00 AM,Buses,18883,16176
US-Canada Border,12/01/2014 12:00:00 AM,Train Passengers,15318,10937
US-Canada Border,12/01/2014 12:00:00 AM,Buses,5782,16176
US-Canada Border,12/01/2014 12:00:00 AM,Trains,2268,1620
US-Mexico Border,12/01/2014 12:00:00 AM,Train Passengers,884,10937
US-Mexico Border,12/01/2014 12:00:00 AM,Trains,825,1620
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,9588925
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,6000441,4615893
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4753768,9588925
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,1911065
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2524328,4615893
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,412866,452606
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,452606
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,300125,328802
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,273819
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,328802
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,142820,273819
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,120826,69168
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,91227,114901
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,90710,114901
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,55063,38085
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,34945,38085
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,33411,69168
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,18896,16384
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,15379,10846
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,13847,1911065
US-Canada Border,12/01/2013 12:00:00 AM,Buses,6302,16384
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,1622
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,779,1622
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,291,10846
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,10971293,9736401
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,5608850,4652094
