Border,Date,Measure,Value,Average
US-Canada Border,09/01/2016 12:00:00 AM,Trucks,497132,455810
US-Mexico Border,09/01/2016 12:00:00 AM,Trucks,481245,455810
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Full,404577,332131
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Full,332088,332131
US-Canada Border,09/01/2016 12:00:00 AM,Bus Passengers,201342,261386
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Empty,144033,115654
US-Mexico Border,09/01/2016 12:00:00 AM,Bus Passengers,136792,261386
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Full,127837,71914
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Empty,97301,115654
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Empty,52410,39862
US-Canada Border,09/01/2016 12:00:00 AM,Pedestrians,50712,1883861
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Full,44234,71914
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Empty,43450,39862
US-Canada Border,09/01/2016 12:00:00 AM,Train Passengers,29351,11126
US-Mexico Border,09/01/2016 12:00:00 AM,Buses,12185,15753
US-Canada Border,09/01/2016 12:00:00 AM,Buses,8220,15753
US-Canada Border,09/01/2016 12:00:00 AM,Trains,2486,1626
US-Mexico Border,09/01/2016 12:00:00 AM,Train Passengers,1587,11126
US-Mexico Border,09/01/2016 12:00:00 AM,Trains,889,1626
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,10860037,9404706
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicles,6035984,4575884
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,4363739,9404706
US-Mexico Border,09/01/2015 12:00:00 AM,Pedestrians,3139366,1891935
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicles,2494332,4575884
US-Canada Border,09/01/2015 12:00:00 AM,Trucks,500069,454114
US-Mexico Border,09/01/2015 12:00:00 AM,Trucks,455664,454114
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Full,410672,330114
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Full,321472,330114
US-Canada Border,09/01/2015 12:00:00 AM,Bus Passengers,218772,266254
US-Mexico Border,09/01/2015 12:00:00 AM,Bus Passengers,173903,266254
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Empty,134511,115548
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Full,130992,71005
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Empty,105094,115548
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Empty,56083,39435
US-Canada Border,09/01/2015 12:00:00 AM,Pedestrians,45922,1891935
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Full,40426,71005
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Empty,36013,39435
US-Canada Border,09/01/2015 12:00:00 AM,Train Passengers,32000,11036
US-Mexico Border,09/01/2015 12:00:00 AM,Buses,15435,16006
US-Canada Border,09/01/2015 12:00:00 AM,Buses,9425,16006
US-Canada Border,09/01/2015 12:00:00 AM,Trains,2554,1624
US-Mexico Border,09/01/2015 12:00:00 AM,Train Passengers,1058,11036
US-Mexico Border,09/01/2015 12:00:00 AM,Trains,829,1624
US-Mexico Border,09/01/2014 12:00:00 AM,Personal Vehicle Passengers,10249686,9503645
US-Mexico Border,09/01/2014 12:00:00 AM,Personal Vehicles,5677215,4595484
US-Canada Border,09/01/2014 12:00:00 AM,Personal Vehicle Passengers,4888273,9503645
US-Mexico Border,09/01/2014 12:00:00 AM,Pedestrians,3103375,1903689
US-Canada Border,09/01/2014 12:00:00 AM,Personal Vehicles,2762674,4595484
US-Canada Border,09/01/2014 12:00:00 AM,Trucks,509506,453050
US-Mexico Border,09/01/2014 12:00:00 AM,Trucks,440589,453050
US-Canada Border,09/01/2014 12:00:00 AM,Truck Containers Full,378454,328836
US-Mexico Border,09/01/2014 12:00:00 AM,Truck Containers Full,304518,328836
US-Canada Border,09/01/2014 12:00:00 AM,Bus Passengers,220253,270924
US-Mexico Border,09/01/2014 12:00:00 AM,Bus Passengers,191799,270924
US-Canada Border,09/01/2014 12:00:00 AM,Rail Containers Full,132802,69934
US-Mexico Border,09/01/2014 12:00:00 AM,Truck Containers Empty,132093,115127
US-Canada Border,09/01/2014 12:00:00 AM,Truck Containers Empty,121183,115127
US-Canada Border,09/01/2014 12:00:00 AM,Rail Containers Empty,66650,38693
US-Canada Border,09/01/2014 12:00:00 AM,Pedestrians,43787,1903689
US-Mexico Border,09/01/2014 12:00:00 AM,Rail Containers Full,39829,69934
US-Mexico Border,09/01/2014 12:00:00 AM,Rail Containers Empty,35826,38693
US-Canada Border,09/01/2014 12:00:00 AM,Train Passengers,31724,10943
US-Mexico Border,09/01/2014 12:00:00 AM,Buses,17873,16230
US-Canada Border,09/01/2014 12:00:00 AM,Buses,10166,16230
US-Canada Border,09/01/2014 12:00:00 AM,Trains,2395,1621
US-Mexico Border,09/01/2014 12:00:00 AM,Trains,822,1621
US-Mexico Border,09/01/2014 12:00:00 AM,Train Passengers,735,10943
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,9778521,9626912
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicles,5389491,4624777
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,5109950,9626912
US-Mexico Border,09/01/2013 12:00:00 AM,Pedestrians,3196087,1914277
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicles,2841765,4624777
US-Canada Border,09/01/2013 12:00:00 AM,Trucks,477120,452481
US-Mexico Border,09/01/2013 12:00:00 AM,Trucks,405484,452481
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Full,352489,328900
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Full,273471,328900
US-Canada Border,09/01/2013 12:00:00 AM,Bus Passengers,230454,275273
US-Mexico Border,09/01/2013 12:00:00 AM,Bus Passengers,177670,275273
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Full,128150,68845
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Empty,127800,114791
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Empty,121839,114791
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Empty,63775,37859
US-Canada Border,09/01/2013 12:00:00 AM,Pedestrians,43243,1914277
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Full,38311,68845
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Empty,32453,37859
US-Canada Border,09/01/2013 12:00:00 AM,Train Passengers,29884,10866
US-Mexico Border,09/01/2013 12:00:00 AM,Buses,16168,16449
US-Canada Border,09/01/2013 12:00:00 AM,Buses,10574,16449
US-Canada Border,09/01/2013 12:00:00 AM,Trains,2461,1620
US-Mexico Border,09/01/2013 12:00:00 AM,Trains,793,1620
US-Mexico Border,09/01/2013 12:00:00 AM,Train Passengers,294,10866
US-Mexico Border,09/01/2012 12:00:00 AM,Personal Vehicle Passengers,9270098,9785782
US-Canada Border,09/01/2012 12:00:00 AM,Personal Vehicle Passengers,5310244,9785782
US-Mexico Border,09/01/2012 12:00:00 AM,Personal Vehicles,5132479,4665023
US-Mexico Border,09/01/2012 12:00:00 AM,Pedestrians,3127024,1929152
US-Canada Border,09/01/2012 12:00:00 AM,Personal Vehicles,2903426,4665023
US-Canada Border,09/01/2012 12:00:00 AM,Trucks,457817,452861
US-Mexico Border,09/01/2012 12:00:00 AM,Trucks,392223,452861
US-Canada Border,09/01/2012 12:00:00 AM,Truck Containers Full,338751,330162
US-Mexico Border,09/01/2012 12:00:00 AM,Truck Containers Full,258742,330162
US-Canada Border,09/01/2012 12:00:00 AM,Bus Passengers,242833,279603
US-Mexico Border,09/01/2012 12:00:00 AM,Bus Passengers,194726,279603
US-Mexico Border,09/01/2012 12:00:00 AM,Truck Containers Empty,130496,114116
US-Canada Border,09/01/2012 12:00:00 AM,Rail Containers Full,119051,67957
US-Canada Border,09/01/2012 12:00:00 AM,Truck Containers Empty,98020,114116
US-Canada Border,09/01/2012 12:00:00 AM,Rail Containers Empty,59980,37165
US-Canada Border,09/01/2012 12:00:00 AM,Pedestrians,43962,1929152
US-Mexico Border,09/01/2012 12:00:00 AM,Rail Containers Full,34167,67957
US-Mexico Border,09/01/2012 12:00:00 AM,Rail Containers Empty,32770,37165
US-Canada Border,09/01/2012 12:00:00 AM,Train Passengers,26716,10815
US-Mexico Border,09/01/2012 12:00:00 AM,Buses,16744,16699
US-Canada Border,09/01/2012 12:00:00 AM,Buses,10700,16699
US-Canada Border,09/01/2012 12:00:00 AM,Trains,2350,1623
US-Mexico Border,09/01/2012 12:00:00 AM,Trains,733,1623
US-Mexico Border,09/01/2012 12:00:00 AM,Train Passengers,219,10815
US-Mexico Border,09/01/2011 12:00:00 AM,Personal Vehicle Passengers,8707267,9998100
US-Canada Border,09/01/2011 12:00:00 AM,Personal Vehicle Passengers,5200159,9998100
US-Mexico Border,09/01/2011 12:00:00 AM,Personal Vehicles,4941668,4726429
US-Mexico Border,09/01/2011 12:00:00 AM,Pedestrians,3084806,1947348
US-Canada Border,09/01/2011 12:00:00 AM,Personal Vehicles,2836400,4726429
US-Canada Border,09/01/2011 12:00:00 AM,Trucks,467016,453519
US-Mexico Border,09/01/2011 12:00:00 AM,Trucks,399902,453519
US-Canada Border,09/01/2011 12:00:00 AM,Truck Containers Full,345284,331737
US-Mexico Border,09/01/2011 12:00:00 AM,Truck Containers Full,268207,331737
US-Canada Border,09/01/2011 12:00:00 AM,Bus Passengers,243856,284557
US-Mexico Border,09/01/2011 12:00:00 AM,Bus Passengers,185835,284557
US-Mexico Border,09/01/2011 12:00:00 AM,Truck Containers Empty,131108,113769
US-Canada Border,09/01/2011 12:00:00 AM,Rail Containers Full,111616,67433
US-Canada Border,09/01/2011 12:00:00 AM,Truck Containers Empty,99849,113769
US-Canada Border,09/01/2011 12:00:00 AM,Rail Containers Empty,56359,36288
US-Canada Border,09/01/2011 12:00:00 AM,Pedestrians,47679,1947348
US-Mexico Border,09/01/2011 12:00:00 AM,Rail Containers Empty,35428,36288
US-Mexico Border,09/01/2011 12:00:00 AM,Rail Containers Full,30245,67433
US-Canada Border,09/01/2011 12:00:00 AM,Train Passengers,27171,10750
US-Mexico Border,09/01/2011 12:00:00 AM,Buses,15546,16983
US-Canada Border,09/01/2011 12:00:00 AM,Buses,11077,16983
US-Canada Border,09/01/2011 12:00:00 AM,Trains,2286,1630
US-Mexico Border,09/01/2011 12:00:00 AM,Trains,731,1630
US-Mexico Border,09/01/2011 12:00:00 AM,Train Passengers,304,10750
US-Mexico Border,09/01/2010 12:00:00 AM,Personal Vehicle Passengers,9725659,10260558
US-Canada Border,09/01/2010 12:00:00 AM,Personal Vehicle Passengers,5065766,10260558
US-Mexico Border,09/01/2010 12:00:00 AM,Personal Vehicles,5065256,4807310
US-Mexico Border,09/01/2010 12:00:00 AM,Pedestrians,3007144,1971991
US-Canada Border,09/01/2010 12:00:00 AM,Personal Vehicles,2584252,4807310
US-Canada Border,09/01/2010 12:00:00 AM,Trucks,468864,455864
US-Mexico Border,09/01/2010 12:00:00 AM,Trucks,386817,455864
US-Canada Border,09/01/2010 12:00:00 AM,Truck Containers Full,359307,334009
US-Mexico Border,09/01/2010 12:00:00 AM,Truck Containers Full,256537,334009
US-Canada Border,09/01/2010 12:00:00 AM,Bus Passengers,239495,290795
US-Mexico Border,09/01/2010 12:00:00 AM,Bus Passengers,195096,290795
US-Mexico Border,09/01/2010 12:00:00 AM,Truck Containers Empty,129505,113903
US-Canada Border,09/01/2010 12:00:00 AM,Truck Containers Empty,99795,113903
US-Canada Border,09/01/2010 12:00:00 AM,Rail Containers Full,98604,67539
US-Canada Border,09/01/2010 12:00:00 AM,Rail Containers Empty,51199,35701
US-Canada Border,09/01/2010 12:00:00 AM,Pedestrians,41099,1971991
US-Mexico Border,09/01/2010 12:00:00 AM,Rail Containers Empty,34808,35701
US-Mexico Border,09/01/2010 12:00:00 AM,Rail Containers Full,29116,67539
US-Canada Border,09/01/2010 12:00:00 AM,Train Passengers,26706,10687
US-Mexico Border,09/01/2010 12:00:00 AM,Buses,17105,17291
US-Canada Border,09/01/2010 12:00:00 AM,Buses,10934,17291
US-Canada Border,09/01/2010 12:00:00 AM,Trains,2078,1649
US-Mexico Border,09/01/2010 12:00:00 AM,Trains,665,1649
US-Mexico Border,09/01/2010 12:00:00 AM,Train Passengers,268,10687
US-Mexico Border,09/01/2009 12:00:00 AM,Personal Vehicle Passengers,11040305,10507721
US-Mexico Border,09/01/2009 12:00:00 AM,Personal Vehicles,5637383,4897016
US-Canada Border,09/01/2009 12:00:00 AM,Personal Vehicle Passengers,4787157,10507721
US-Mexico Border,09/01/2009 12:00:00 AM,Pedestrians,3053713,2001423
US-Canada Border,09/01/2009 12:00:00 AM,Personal Vehicles,2428854,4897016
US-Canada Border,09/01/2009 12:00:00 AM,Trucks,455815,459447
US-Mexico Border,09/01/2009 12:00:00 AM,Trucks,364722,459447
US-Canada Border,09/01/2009 12:00:00 AM,Truck Containers Full,354394,337191
US-Canada Border,09/01/2009 12:00:00 AM,Bus Passengers,256397,299172
US-Mexico Border,09/01/2009 12:00:00 AM,Truck Containers Full,229875,337191
US-Mexico Border,09/01/2009 12:00:00 AM,Bus Passengers,160678,299172
US-Mexico Border,09/01/2009 12:00:00 AM,Truck Containers Empty,134457,114031
US-Canada Border,09/01/2009 12:00:00 AM,Truck Containers Empty,94836,114031
US-Canada Border,09/01/2009 12:00:00 AM,Rail Containers Full,86560,68216
US-Canada Border,09/01/2009 12:00:00 AM,Rail Containers Empty,46743,35349
US-Canada Border,09/01/2009 12:00:00 AM,Pedestrians,44736,2001423
US-Mexico Border,09/01/2009 12:00:00 AM,Rail Containers Empty,27805,35349
US-Canada Border,09/01/2009 12:00:00 AM,Train Passengers,24475,10683
US-Mexico Border,09/01/2009 12:00:00 AM,Rail Containers Full,21988,68216
US-Mexico Border,09/01/2009 12:00:00 AM,Buses,16694,17628
US-Canada Border,09/01/2009 12:00:00 AM,Buses,11291,17628
US-Canada Border,09/01/2009 12:00:00 AM,Trains,2031,1676
US-Mexico Border,09/01/2009 12:00:00 AM,Trains,587,1676
US-Mexico Border,09/01/2009 12:00:00 AM,Train Passengers,294,10683
US-Mexico Border,09/01/2008 12:00:00 AM,Personal Vehicle Passengers,12943742,10756009
US-Mexico Border,09/01/2008 12:00:00 AM,Personal Vehicles,6485225,4981505
US-Canada Border,09/01/2008 12:00:00 AM,Personal Vehicle Passengers,4781150,10756009
US-Mexico Border,09/01/2008 12:00:00 AM,Pedestrians,3570146,2026591
US-Canada Border,09/01/2008 12:00:00 AM,Personal Vehicles,2442637,4981505
US-Canada Border,09/01/2008 12:00:00 AM,Trucks,511697,467114
US-Canada Border,09/01/2008 12:00:00 AM,Truck Containers Full,414858,344006
US-Mexico Border,09/01/2008 12:00:00 AM,Trucks,394948,467114
US-Canada Border,09/01/2008 12:00:00 AM,Bus Passengers,307375,307769
US-Mexico Border,09/01/2008 12:00:00 AM,Truck Containers Full,234084,344006
US-Mexico Border,09/01/2008 12:00:00 AM,Bus Passengers,234079,307769
US-Mexico Border,09/01/2008 12:00:00 AM,Truck Containers Empty,161436,114557
US-Canada Border,09/01/2008 12:00:00 AM,Rail Containers Full,107759,69674
US-Canada Border,09/01/2008 12:00:00 AM,Truck Containers Empty,95117,114557
US-Canada Border,09/01/2008 12:00:00 AM,Rail Containers Empty,50700,35085
US-Canada Border,09/01/2008 12:00:00 AM,Pedestrians,35038,2026591
US-Mexico Border,09/01/2008 12:00:00 AM,Rail Containers Empty,32625,35085
US-Mexico Border,09/01/2008 12:00:00 AM,Rail Containers Full,25580,69674
US-Canada Border,09/01/2008 12:00:00 AM,Train Passengers,23898,10859
US-Mexico Border,09/01/2008 12:00:00 AM,Buses,20264,17936
US-Canada Border,09/01/2008 12:00:00 AM,Buses,11909,17936
US-Canada Border,09/01/2008 12:00:00 AM,Trains,2405,1708
US-Mexico Border,09/01/2008 12:00:00 AM,Train Passengers,1693,10859
US-Mexico Border,09/01/2008 12:00:00 AM,Trains,798,1708
US-Mexico Border,09/01/2007 12:00:00 AM,Personal Vehicle Passengers,12847473,10957837
US-Mexico Border,09/01/2007 12:00:00 AM,Personal Vehicles,6450165,5034615
US-Canada Border,09/01/2007 12:00:00 AM,Personal Vehicle Passengers,5133356,10957837
US-Mexico Border,09/01/2007 12:00:00 AM,Pedestrians,3933156,2030941
US-Canada Border,09/01/2007 12:00:00 AM,Personal Vehicles,2630684,5034615
US-Canada Border,09/01/2007 12:00:00 AM,Trucks,531706,467754
US-Canada Border,09/01/2007 12:00:00 AM,Truck Containers Full,445275,345126
US-Mexico Border,09/01/2007 12:00:00 AM,Trucks,381680,467754
US-Canada Border,09/01/2007 12:00:00 AM,Bus Passengers,354549,308383
US-Mexico Border,09/01/2007 12:00:00 AM,Bus Passengers,262279,308383
US-Mexico Border,09/01/2007 12:00:00 AM,Truck Containers Full,233770,345126
US-Mexico Border,09/01/2007 12:00:00 AM,Truck Containers Empty,139864,113413
US-Canada Border,09/01/2007 12:00:00 AM,Rail Containers Full,121028,69393
US-Canada Border,09/01/2007 12:00:00 AM,Truck Containers Empty,82665,113413
US-Canada Border,09/01/2007 12:00:00 AM,Pedestrians,55005,2030941
US-Canada Border,09/01/2007 12:00:00 AM,Rail Containers Empty,46717,34016
US-Mexico Border,09/01/2007 12:00:00 AM,Rail Containers Empty,37443,34016
US-Mexico Border,09/01/2007 12:00:00 AM,Rail Containers Full,32225,69393
US-Canada Border,09/01/2007 12:00:00 AM,Train Passengers,23320,10825
US-Mexico Border,09/01/2007 12:00:00 AM,Buses,21091,18070
US-Canada Border,09/01/2007 12:00:00 AM,Buses,13033,18070
US-Canada Border,09/01/2007 12:00:00 AM,Trains,2460,1706
US-Mexico Border,09/01/2007 12:00:00 AM,Train Passengers,1726,10825
US-Mexico Border,09/01/2007 12:00:00 AM,Trains,899,1706
US-Mexico Border,09/01/2006 12:00:00 AM,Personal Vehicle Passengers,13571521,11175649
US-Mexico Border,09/01/2006 12:00:00 AM,Personal Vehicles,6811433,5081071
US-Canada Border,09/01/2006 12:00:00 AM,Personal Vehicle Passengers,5567958,11175649
US-Mexico Border,09/01/2006 12:00:00 AM,Pedestrians,3770596,2025149
US-Canada Border,09/01/2006 12:00:00 AM,Personal Vehicles,2676082,5081071
US-Canada Border,09/01/2006 12:00:00 AM,Trucks,542189,466961
US-Canada Border,09/01/2006 12:00:00 AM,Truck Containers Full,452851,344007
US-Mexico Border,09/01/2006 12:00:00 AM,Trucks,383450,466961
US-Canada Border,09/01/2006 12:00:00 AM,Bus Passengers,266393,311096
US-Mexico Border,09/01/2006 12:00:00 AM,Truck Containers Full,246727,344007
US-Mexico Border,09/01/2006 12:00:00 AM,Bus Passengers,222004,311096
US-Mexico Border,09/01/2006 12:00:00 AM,Truck Containers Empty,136347,113262
US-Canada Border,09/01/2006 12:00:00 AM,Rail Containers Full,108601,69001
US-Canada Border,09/01/2006 12:00:00 AM,Truck Containers Empty,82494,113262
US-Canada Border,09/01/2006 12:00:00 AM,Pedestrians,53180,2025149
US-Canada Border,09/01/2006 12:00:00 AM,Rail Containers Empty,43203,33030
US-Mexico Border,09/01/2006 12:00:00 AM,Rail Containers Empty,36318,33030
US-Mexico Border,09/01/2006 12:00:00 AM,Rail Containers Full,33461,69001
US-Canada Border,09/01/2006 12:00:00 AM,Train Passengers,23712,10867
US-Mexico Border,09/01/2006 12:00:00 AM,Buses,20686,18273
US-Canada Border,09/01/2006 12:00:00 AM,Buses,10662,18273
US-Canada Border,09/01/2006 12:00:00 AM,Trains,2583,1702
US-Mexico Border,09/01/2006 12:00:00 AM,Train Passengers,1839,10867
US-Mexico Border,09/01/2006 12:00:00 AM,Trains,860,1702
US-Mexico Border,09/01/2005 12:00:00 AM,Personal Vehicle Passengers,14370751,11338847
US-Mexico Border,09/01/2005 12:00:00 AM,Personal Vehicles,7269953,5096145
US-Canada Border,09/01/2005 12:00:00 AM,Personal Vehicle Passengers,5445304,11338847
US-Mexico Border,09/01/2005 12:00:00 AM,Pedestrians,3188385,2053292
US-Canada Border,09/01/2005 12:00:00 AM,Personal Vehicles,2693008,5096145
US-Canada Border,09/01/2005 12:00:00 AM,Trucks,580446,464270
US-Canada Border,09/01/2005 12:00:00 AM,Truck Containers Full,505336,338922
US-Canada Border,09/01/2005 12:00:00 AM,Bus Passengers,454160,317263
US-Mexico Border,09/01/2005 12:00:00 AM,Trucks,390992,464270
US-Mexico Border,09/01/2005 12:00:00 AM,Truck Containers Full,253974,338922
US-Mexico Border,09/01/2005 12:00:00 AM,Bus Passengers,190161,317263
US-Mexico Border,09/01/2005 12:00:00 AM,Truck Containers Empty,135819,113660
US-Canada Border,09/01/2005 12:00:00 AM,Rail Containers Full,118157,67833
US-Canada Border,09/01/2005 12:00:00 AM,Truck Containers Empty,84573,113660
US-Canada Border,09/01/2005 12:00:00 AM,Pedestrians,55313,2053292
US-Canada Border,09/01/2005 12:00:00 AM,Rail Containers Empty,38882,32195
US-Mexico Border,09/01/2005 12:00:00 AM,Rail Containers Empty,31647,32195
US-Mexico Border,09/01/2005 12:00:00 AM,Rail Containers Full,27603,67833
US-Canada Border,09/01/2005 12:00:00 AM,Train Passengers,24526,10785
US-Mexico Border,09/01/2005 12:00:00 AM,Buses,19847,18602
US-Canada Border,09/01/2005 12:00:00 AM,Buses,17042,18602
US-Canada Border,09/01/2005 12:00:00 AM,Trains,2779,1684
US-Mexico Border,09/01/2005 12:00:00 AM,Train Passengers,1498,10785
US-Mexico Border,09/01/2005 12:00:00 AM,Trains,809,1684
US-Mexico Border,09/01/2004 12:00:00 AM,Personal Vehicle Passengers,14572074,11532421
US-Mexico Border,09/01/2004 12:00:00 AM,Personal Vehicles,7351912,5096351
US-Canada Border,09/01/2004 12:00:00 AM,Personal Vehicle Passengers,5469920,11532421
US-Mexico Border,09/01/2004 12:00:00 AM,Pedestrians,3428943,2068430
US-Canada Border,09/01/2004 12:00:00 AM,Personal Vehicles,2758081,5096351
US-Canada Border,09/01/2004 12:00:00 AM,Trucks,602098,462303
US-Canada Border,09/01/2004 12:00:00 AM,Truck Containers Full,500366,334000
US-Canada Border,09/01/2004 12:00:00 AM,Bus Passengers,386208,322393
US-Mexico Border,09/01/2004 12:00:00 AM,Trucks,369295,462303
US-Mexico Border,09/01/2004 12:00:00 AM,Bus Passengers,244162,322393
US-Mexico Border,09/01/2004 12:00:00 AM,Truck Containers Full,234611,334000
US-Mexico Border,09/01/2004 12:00:00 AM,Truck Containers Empty,138611,114836
US-Canada Border,09/01/2004 12:00:00 AM,Rail Containers Full,122446,66407
US-Canada Border,09/01/2004 12:00:00 AM,Truck Containers Empty,83785,114836
US-Canada Border,09/01/2004 12:00:00 AM,Pedestrians,71762,2068430
US-Canada Border,09/01/2004 12:00:00 AM,Rail Containers Empty,38051,31402
US-Canada Border,09/01/2004 12:00:00 AM,Train Passengers,29687,10809
US-Mexico Border,09/01/2004 12:00:00 AM,Rail Containers Empty,29428,31402
US-Mexico Border,09/01/2004 12:00:00 AM,Rail Containers Full,25876,66407
US-Mexico Border,09/01/2004 12:00:00 AM,Buses,22198,18919
US-Canada Border,09/01/2004 12:00:00 AM,Buses,15098,18919
US-Canada Border,09/01/2004 12:00:00 AM,Trains,2649,1682
US-Mexico Border,09/01/2004 12:00:00 AM,Train Passengers,1024,10809
US-Mexico Border,09/01/2004 12:00:00 AM,Trains,628,1682
US-Mexico Border,09/01/2003 12:00:00 AM,Personal Vehicle Passengers,15497771,11731004
US-Mexico Border,09/01/2003 12:00:00 AM,Personal Vehicles,7234559,5109423
US-Canada Border,09/01/2003 12:00:00 AM,Personal Vehicle Passengers,5441911,11731004
US-Mexico Border,09/01/2003 12:00:00 AM,Pedestrians,3673315,2063596
US-Canada Border,09/01/2003 12:00:00 AM,Personal Vehicles,2661644,5109423
US-Canada Border,09/01/2003 12:00:00 AM,Trucks,600016,459739
US-Canada Border,09/01/2003 12:00:00 AM,Truck Containers Full,498127,328083
US-Canada Border,09/01/2003 12:00:00 AM,Bus Passengers,380195,325438
US-Mexico Border,09/01/2003 12:00:00 AM,Trucks,345770,459739
US-Mexico Border,09/01/2003 12:00:00 AM,Bus Passengers,268252,325438
US-Mexico Border,09/01/2003 12:00:00 AM,Truck Containers Full,209685,328083
US-Mexico Border,09/01/2003 12:00:00 AM,Truck Containers Empty,141501,116218
US-Canada Border,09/01/2003 12:00:00 AM,Rail Containers Full,117584,64710
US-Canada Border,09/01/2003 12:00:00 AM,Pedestrians,98142,2063596
US-Canada Border,09/01/2003 12:00:00 AM,Truck Containers Empty,82754,116218
US-Canada Border,09/01/2003 12:00:00 AM,Rail Containers Empty,39255,30630
US-Mexico Border,09/01/2003 12:00:00 AM,Rail Containers Empty,26199,30630
US-Mexico Border,09/01/2003 12:00:00 AM,Buses,22148,18846
US-Canada Border,09/01/2003 12:00:00 AM,Train Passengers,21474,11117
US-Mexico Border,09/01/2003 12:00:00 AM,Rail Containers Full,21083,64710
US-Canada Border,09/01/2003 12:00:00 AM,Buses,15047,18846
US-Canada Border,09/01/2003 12:00:00 AM,Trains,2895,1666
US-Mexico Border,09/01/2003 12:00:00 AM,Train Passengers,1049,11117
US-Mexico Border,09/01/2003 12:00:00 AM,Trains,633,1666
US-Mexico Border,09/01/2002 12:00:00 AM,Personal Vehicle Passengers,16246655,12083268
US-Mexico Border,09/01/2002 12:00:00 AM,Personal Vehicles,7480380,5153530
US-Canada Border,09/01/2002 12:00:00 AM,Personal Vehicle Passengers,5983970,12083268
US-Mexico Border,09/01/2002 12:00:00 AM,Pedestrians,3843959,2054099
US-Canada Border,09/01/2002 12:00:00 AM,Personal Vehicles,2893435,5153530
US-Canada Border,09/01/2002 12:00:00 AM,Trucks,587262,459541
US-Canada Border,09/01/2002 12:00:00 AM,Truck Containers Full,492669,321737
US-Canada Border,09/01/2002 12:00:00 AM,Bus Passengers,463219,325111
US-Mexico Border,09/01/2002 12:00:00 AM,Trucks,349746,459541
US-Mexico Border,09/01/2002 12:00:00 AM,Bus Passengers,274867,325111
US-Mexico Border,09/01/2002 12:00:00 AM,Truck Containers Full,196385,321737
US-Mexico Border,09/01/2002 12:00:00 AM,Truck Containers Empty,146454,117787
US-Canada Border,09/01/2002 12:00:00 AM,Pedestrians,143485,2054099
US-Canada Border,09/01/2002 12:00:00 AM,Rail Containers Full,120156,62866
US-Canada Border,09/01/2002 12:00:00 AM,Truck Containers Empty,86248,117787
US-Canada Border,09/01/2002 12:00:00 AM,Rail Containers Empty,36743,29739
US-Mexico Border,09/01/2002 12:00:00 AM,Rail Containers Empty,25846,29739
US-Mexico Border,09/01/2002 12:00:00 AM,Buses,24380,18688
US-Mexico Border,09/01/2002 12:00:00 AM,Rail Containers Full,22884,62866
US-Canada Border,09/01/2002 12:00:00 AM,Train Passengers,21067,11444
US-Canada Border,09/01/2002 12:00:00 AM,Buses,16899,18688
US-Canada Border,09/01/2002 12:00:00 AM,Trains,2894,1648
US-Mexico Border,09/01/2002 12:00:00 AM,Train Passengers,1102,11444
US-Mexico Border,09/01/2002 12:00:00 AM,Trains,621,1648
US-Mexico Border,09/01/2001 12:00:00 AM,Personal Vehicle Passengers,13335293,12831719
US-Mexico Border,09/01/2001 12:00:00 AM,Personal Vehicles,6141497,5326388
US-Canada Border,09/01/2001 12:00:00 AM,Personal Vehicle Passengers,5667660,12831719
US-Mexico Border,09/01/2001 12:00:00 AM,Pedestrians,3827169,2032770
US-Canada Border,09/01/2001 12:00:00 AM,Personal Vehicles,2572008,5326388
